knee_X	knee_Y	knee_Z
	34.576478	-1.177613	-23.196772
	36.783704	-0.846819	-23.409705
	38.998611	-0.501385	-23.605490
	41.204479	-0.154633	-23.775932
	43.388505	0.181039	-23.914160
	45.541902	0.495555	-24.014999
	47.658972	0.781893	-24.074785
	49.735718	1.036778	-24.091488
	51.769035	1.261331	-24.066407
	53.756780	1.461092	-24.006096
	55.697713	1.645356	-23.922639
	57.590538	1.826348	-23.832187
	59.432577	2.018243	-23.752090
	61.219027	2.235756	-23.697642
	62.943189	2.491885	-23.679950
	64.597065	2.794968	-23.704624
	66.171375	3.146173	-23.770272
	67.654903	3.538414	-23.867949
	69.034269	3.956605	-23.982827
	70.294599	4.379133	-24.097284
	71.420245	4.780381	-24.194399
	72.395062	5.133648	-24.260837
	73.202804	5.414167	-24.288123
	73.828204	5.602146	-24.272684
	74.258644	5.684969	-24.215479
	74.485302	5.657713	-24.120739
	74.502649	5.522265	-23.992833
	74.307163	5.285768	-23.832984
	73.896770	4.958819	-23.639186
	73.270829	4.554105	-23.408925
	72.429813	4.085153	-23.141531
	71.374735	3.564125	-22.838187
	70.106695	3.000757	-22.500761
	68.626883	2.404572	-22.132524
	66.937184	1.787593	-21.740346
	65.041149	1.165093	-21.335450
	62.944633	0.555177	-20.932301
	60.655807	-0.022268	-20.546985
	58.184714	-0.547339	-20.196802
	55.542481	-1.002449	-19.900373
	52.740787	-1.374493	-19.675920
	49.792326	-1.655634	-19.539843
	46.712099	-1.842631	-19.507703
	43.518918	-1.936541	-19.595217
	40.236726	-1.943739	-19.817394
	36.894907	-1.877125	-20.185631
	33.526847	-1.756874	-20.703397
	30.167669	-1.610493	-21.362678
	26.852703	-1.470168	-22.143713
	23.616901	-1.367003	-23.018260
	20.494850	-1.325549	-23.953056
	17.521040	-1.360600	-24.910774
	14.729487	-1.475353	-25.849835
	12.152374	-1.660908	-26.725965
	9.818366	-1.897886	-27.496657
	7.751499	-2.160171	-28.127715
	5.971021	-2.419764	-28.598598
	4.491616	-2.651047	-28.902709
	3.323665	-2.833663	-29.044283
	2.473633	-2.954307	-29.035796
	1.943849	-3.007407	-28.895000
	1.731049	-2.994318	-28.640396
	1.824756	-2.921373	-28.287517
	2.207248	-2.798092	-27.848717
	2.855795	-2.635847	-27.335896
	3.745886	-2.446453	-26.762693
	4.853700	-2.241059	-26.145343
	6.157110	-2.029247	-25.504170
	7.635480	-1.817796	-24.864780
	9.268782	-1.609816	-24.256996
	11.036514	-1.405094	-23.711649
	12.916849	-1.201452	-23.255818
	14.885724	-0.996581	-22.907868
	16.915628	-0.789991	-22.673500
	18.974575	-0.584581	-22.542814
	21.026119	-0.387091	-22.488930
